server_id,user_id
BBG00PZZ94F4,NASDAQ:SDC
BBG00P19DKZ6,NYSE:CHWY
BBG00NPWH832,NYSE:ALC
BBG00NNG2ZJ8,NYSE:XRX
BBG00NK8H8T2,NASDAQ:TW
BBG00MRHG523,NYSE:STE
BBG00M4ZQDK0,NASDAQ:STNE
BBG00M4RHBD0,NYSE:RVLV
BBG00M1CKSK7,NYSE:SWI
BBG00LWZDYB9,NYSE:ESTC
BBG00LSD4456,NYSE:FTCH
BBG00LNJRQ09,NYSE:AMCR
BBG00LJYS1P8,NYSE:ELAN
BBG00LBLD3F7,NYSE:SDRL
BBG00L7XTP60,NASDAQ:TLRY
BBG00KXRCDP0,NYSE:CI
BBG00KR691K8,NASDAQ:CVET
BBG00KMXKWF9,NYSE:PRSP
BBG00KHY5S69,NASDAQ:AVGO
BBG00JR5MM31,NASDAQ:SGMS
BBG00JPGYW43,NYSE:ST
BBG00JM9XLN6,NYSE:NTR
BBG00JM7QBR6,NYSE:PAGS
BBG00JHNJW99,NASDAQ:FOXA
BBG00JH9TZ56,NYSE:APY
BBG00J7CBVW8,NYSE:EQH
BBG00HCY3Q67,NYSE:WH
BBG00H433CR2,NYSE:EVRG
BBG00GVR8YQ9,NYSE:LIN
BBG00GTWPCQ0,NYSE:DLPH
BBG00GSNPM07,NYSE:JHG
BBG00GQK3WB5,NYSE:SMAR
BBG00GNT7999,NYSE:NVT
BBG00GCTWDJ3,NYSE:CVNA
BBG00GBVBK51,NYSE:BKR
BBG00G41B914,NYSE:GOOS
BBG00FZYFVC5,NYSE:DK
BBG00FWQ4VD6,NASDAQ:ULTA
BBG00FN64XT9,NYSE:DXC
BBG00DYNJGH9,NYSE:ARNC
BBG00DXDL6Q1,NYSE:VST
BBG00DW3SZS1,NYSE:DELL
BBG00DDZZ1Z0,NASDAQ:THOR
BBG00DBBGRX1,NASDAQ:CRSP
BBG00D1WLVH9,NASDAQ:TIVO
BBG00D1WHZD9,NYSE:HTZ
